,TEXT,Label
3133,Someone bring me milk for my cookies!,2
19986,Went out to get groceries...prices are inflating  Gas went up another 10 cents to hit $2.49... #TCOT,9
29109,"@xodedexo18 OMG, I get the $50 coupon from them all the time, do you?? I'm obsessed with their catalog when it comes in the mail",2
16204,"@lonejohnny awwww  I'll be waiting then, hope it doesn't rain",8
28496,@MichalkaAlyson I spell my name alyson too! Aly for short! We spell it the best,1
4828,@ITTO88 @walls6 well its pouring here. Rly rly wet,4
18448,"I've got to meet him tomorrow, midday and hopefully, fingers crossed, it'll all be sorted. My head is still hurting though.",5
36172,"@Scared_soul No idea!  Probably. Actually, yeah, I know there's at least one Zelenka. I looked for him XD",4
19945,@TheComputerNerd so haven't seen any videos the last few days  hope everything is ok...,5
36672,going out for dinnerr soon. thai,4
22359,"@middleclassgirl excellent, that's always a win..  i'm just dealing with a small clique of passive-aggressive, resistant managers..",4
34368,Im so done defending him. Im going to bed and im gonna give my mom a happy mothers day.  at least ill try.,8
21389,"@rahulgoyal1986 Well I will be making beds, creating noise &amp; cleaning cleaning all day long.  With music &amp; a smile  x",4
32208,Gave my mommy her Mother's Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,0
24920,Followed by the great Super Mazembe. One of the favorites around here  ? http://blip.fm/~5jkbp,2
33262,"You're never alone Just when you think no one cares, you realize that there' always one person you cares for you",4
6156,Wasabi is recovering from surgery  http://apps.facebook.com/dogbook/profile/view/6121231,5
5303,@anitapsays what happened?  are you suffering from neck/shoulder/back pain like me?  i can't move either,5
18248,@_juliamarie people just don't appreciate nature. it's sad. did the lil dude survive?,5
31489,@afton_volturi ** Slaps self on forehead **  Pardon me!,5
20720,@SchoolBoyQ L0l uhm; you need to just wife up mary jane cuz that's all you talk about!,5
3787,I miss my wacom. Especially the mouse. Laptop touch pad is horrible,8
29449,@JonathanRKnight I am jealous...Ur koi fish are getting ur attention &amp; I'm not.....lmao   I'm kidding!!,1
37292,"feeling, breathing, believing, keeping you on my mind and never ever gonna think to let you go..",0
25428,@docdolly you have a plurk account too?,4
13547,Look at how far away I've gone... locked away in a room trying to work in silence and yet... constant &quot;urgent&quot; emails and IM's persist,4
19797,Stupid bipolar weather ruined my day off,5
36490,@natzini 16lbs is still a huge achievement though,3
11775,I'm at work....bored out of my mind.,8
33364,JUST GOT TO LA  MISS HAWAII ALREADY! DANG,2
8534,@michaelbolton Yes...met Jon last yr at an interesting &quot;Questionning Agile&quot; Agile 2008 session.  Don't see him on this yr's schedule.,5
29791,@Mr_Bloggerific OK...you do that.,0
30357,@CVJason @MINDY979 @inotherwords_c @scrapplesandwic @thenewnicole @Sweettreat Thank you for the FFs my friends!,4
333,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",6
15355,oww...just bit my tongue,5
20750,Off to bed. Yay going to chick fil a tomorrow,0
18766,at my lil sis 8th grade graduation....i already kno dis is gonna last all my life,5
15742,sat in the pub. Pretty quiet so far. Prob leave in a bit. Work at 6.30,4
16486,@Wossy The Killers where the best. A bit disappointed that the last song was cut short  Can you watch it in full on Iplayer ?,8
33387,watching a youtube vid of @jonasbrohters sing paranoid live  @njbond007 is so cute when he sings lol,11
38347,Driving fast is SO much fun. I went 80 in a 25. Hahaha. Goodnight!,1
38005,@mariamtronchoni Have a nice Sunday  xx,4
10939,"@kaecie76 mines ben slow since last night, think i might need to reset it",5
21060,ish okay my loveee,0
15120,Dropped my lei off at the cemetary.,5
9774,@AYoungOne Yep that one works. I LOVE Potbelly but I can't get it in AZ  Have to wait for my Chi-town trips @PotbellySdchWks,0
30210,on the phone w. Chantellie ! &lt;3,2
15072,im so sad that im missing the @chiodos show in ohio. it's the first show ive missed in 3 years that's been close enough to drive to.,5
5808,@andyjih Yep...sadly I only had 10 min before a meeting!,8
20354,@stealthgear indeed,4
2301,@Keiyaunna OH FACK U GAVE ME POLICE THATS SOME SERIOUSE SHIT,5
38296,"got a prerecorded phone call from JJ asking to vote for ADMK led front, phone number is +914044621160, hyderabad connections",5
12390,finally home and enjoying the rest of my day. Azongo and I are having a smoke-fest! woot! #mmot miss my @MorganLeigh321,3
17957,my puppy is sick,8
14169,"BGT was just amazing tonight, and threee amazing acts got sent home",1
21664,"@wonko42 and staff rooms, It will be intersting to see how K12 faces this when every kid has a laptop",9
11233,"Also, WHERE IS MY TOY STORY 3 TEASER CARMIKE 14? YOU SAID THERE WOULD BE TOY STORY 3!  Movie theater fail",8
36884,@sanjana_58 great.. My best wishes for great future of the site..,9
36530,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,4
37339,@simonusher fancy Sunday lunch in The Albion before the game?,4
11099,"@Anticiplate man, I am really sorry",5
18905,my tv is so boring,4
37447,Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice,0
8346,Ughh. That Miley creature song has infested itself in my brain!,6
25489,@smartinez I'll be at the new movie showing at the franklin on Thursday night.  several of the SLA faculty will be in attendance.,4
16228,is rockin' a minivan til the STi is ready. I miss it already,2
24610,"I am going to work than, ill be home, and im going to look for my camera since it must be lost in my house. everyone have a wonderful day",8
24206,Ahh saved from mowing the lawn by the rain  Now I have plenty of time to go kayaking. Blessed are the rain gods!!,2
39653,is having a loungey sunday,0
39797,why do we even live on this earth ?? i wanna live on mars :|,11
15034,so tired!,9
27960,happy star wars dayyyy =D and hbd to uncle LEE,2
31631,Watching The Nightmare Before Christmas &lt;3 Ask me if I care that neither Halloween nor Christmas is any time soon,0
5427,darn it that was supposed to be a haiku but the formatting failed me.,8
29888,thinks tonight couldn't have gone more perfect.,5
6725,"@JCinQC it is far from downtown, 30-40 minutes or so  and they do have veggie burgers",9
12045,I seriously need to find out why my laptop sometimes gets so hot. BBL after errands &amp; pricing &quot;comp fixes&quot;. Not many places left 4 that.,5
25744,"@whatsonthetube total tv quote, not sure if u would know it",4
24417,"@taylorswift13 We welcome you, Taylor ) Although it's raining :// Can't wait for your concert  x",2
3119,"fuck, can't sleep.  feening for cigs. i'm horrible. :X",5
7406,No twang photopass for tonite,5
29922,@Carrie_King no worries. Miss you mucho,0
18843,nothing to do this evening.. MISSING LIFESTORY,4
6966,Legs are hurting because I was standing up all day.,8
915,"@WTF_JayR oh, i know how budgeting is.",5
21720,@EmilyAllTimeLow: yes!,0
1392,@_shannon1234 Shannie im so sorry! didnt mean to upset you! i just thought you would find it cute  im sorry dont be sad!,5
8375,@azina too late...now it just hurts.,5
33447,Venti Black Ice Tea with 8 pumps of classic,4
1120,4 cases of swine flu!,5
31620,@BarbaraNixon THAT was a GREAT AMP JOKE.. Thanks for sharing,1
38236,@shortword ah cool yeah i can see that . really handy thanks,8
17379,made a little cover for my iphone.  the birds aren't upside down on the back  http://twitpic.com/67tp9 &amp; http://twitpic.com/67to5,4
10436,@msfeistus I AM A CHILD OF THE DIGITAL AGE I USE TWITTER TO ASK SUCH QUESTIONS do not bring logic into this,4
39101,"It's like I'm living in a Dream Land. I (always) get what I want. God, thank you for everything. I'm so grateful for this lovely life",0
22705,"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I'm a total dork.",4
18533,UP is the saddest movie i've ever seen,8
19260,Lack of sleep leads to major head ach,5
17286,@AustinWilde  well i see ur moving onto the next cute guy,9
989,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!,9
26491,@battle4acure Hey!    Good AM to you too!,11
15212,@drerae awww. that sux! my mom has a totally numb finger as well ever since she had her surgery for her hip replacement..sucky.,5
21216,"@gustomize Oh, and a very good review",9
5969,"YM, meebo &amp; ebuddy really hate us  @kuhrabbyPATTY @whatsuppp @ashpolicarpio @cheyennelaxa @piaatrinidad",5
7281,"so not in the mood to go to work, but i guess it's gotta be done",5
31788,Good night peeps! Give to your mom's the greatest love you have   xxx,4
11612,"Entering twitter 'lurk' mode, time to lock the keyboard, just poured me a whiskey",4
5612,@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?,2
2011,Doing uni work all weekend. Fun times,8
997,Bummed that F! F! F! broke up,6
3561,@brentoli oh no  say it aint so,5
31832,Bottle of reisling this time... My favorite!,0
20009,"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.",11
27656,time to hit the study notes! prep for friday's exam!,5
9170,I ate too many kisses.,4
14814,Guys... a serious question. Which song do you like most of all your CDs? Be honest! I know you won't reply me  &lt;333 Maria,4
20775,Yay! Good way to end the night.,2
1187,Insomniaaaaaaa..... all night trying to get a sleep... no luck... and now have to work,5
33689,@donttrythis Something like that happened to me once: We closed the side door too hard and the engine locked up,5
29726,Relaxing.,5
38026,New picture  bored.,4
18959,"@MyInnerCougar Sorry your day was so bad   Gettin the drink on, good plan!",8
2627,"How I wish I get at least 2 days-off in a row. 1 day off is not enough to rest.  3 days on, 1 day off, 4 days on, 1 day off...Ugh!!!",8
34085,"success! after much grumbling abt how we always waste money on useless gifts, mum sees the ipod nano and loves it",9
5257,@rcf89 you have GH:WT? i hate you! i &quot;got&quot; it but it was DVD9  and i need it now the drums are being sold separately,0
18102,Ahhhh!!!!!! Almost off!!! Can't wait!! But..I got work again rite after this!   HAT CLUB Come &amp;&amp; gimme some Company! Oh &amp;&amp; a Cookie! ;-),6
22853,"I've been losing myself into too many Taiwanese dramas.... ????, ??????, ????... this is not good. XD But Wu Chun! Eeeeeee.",9
15761,My car is broken.,8
26971,@MsMandyMay Awesome pics! It's a nice way to start the week,3
13909,Ugh 3 more hours,4
20300,@jordinsilver So long as they hold your wine without tipping.,4
23602,"@Scriabelle yah, lo cuma gini gini aja mad. heheheh, update aja terus statusmuuu..",4
12249,Last Tonight Show with Jay Leno Tonight!,5
326,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",8
24574,"@lauurajm i do i do, i feel absoulutley fine",0
26689,unplugging for the rest of the day.  Have a good one everybody!!,0
18240,@drbri I'm not sure as I've never used it. Sorry,8
28240,@AlGov lmao I'm glad I'm not the only one,1
8847,@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?,5
35102,@Nat4daWorks hope the show is going well!  just wanted u to know that im home now.. muah!,2
22603,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!",0
28550,"@victoriastrauss you know, i would love to see 5 lies editors believe about writers. #justsayin",5
2210,"Damn, 4got to turn off my alarm so I woke up at 5:45am",8
24547,"@marnixtfn Ahahahah, hello to you and welcome on twitter ^^ Got the hang of it already?  xx",8
3165,@SmileDaily I wish I was getting pancakes  booooooooo,9
30996,as we were disembarking @ Tswassen we saw a pod of killer whales ^^ i'd just finished pointing out that i'd never seen bc killer whales.,5
38588,Enjoying my Mommy Day!!!!,1
9722,"Math was not fun at all. Oh well, i get to cook as soon as i get home.",3
12130,"Ok, i've eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",4
2134,Watched The Notebook last night.... Wahhhhhhh!  V good.  Cried my eyes out!  Maybe a bit too close to home I think.    Go watch!,5
10126,I feel like I have to throw up.,10
36890,HAPPY MOTHERS DAY MOM!,0
34417,@notlikemedicine Nice! That sounds great! Let me know when and where.,11
38944,"@howie_d  I'm really happy for u n leigh  thnx for sharing this happiness with us, this means the world to us all!  love ya! Marta",2
25020,@NewYorkChica I understood you pre-coffee tweet  I'm good,2
30590,@taylorswift13 Hayley Williams is pretty much amazzing,4
1229,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.,0
33037,"@Candis04 Hey, Candis.",4
6603,NOO!! XBOX got red rings of death,8
30989,"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can't believe I'm watching hockey either)",2
2785,Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick,8
24712,In hysterics at Yaas' email &lt;3 Am writing a speech for Speakers' and doing Food Technology...damn it's good to be off school on a Monday,5
20308,just watched JONAS. It was funny.,1
23681,"@heyitskesa: Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",9
27508,@cameronstrang that's because of all the stuff that was stolen while you were gone...,9
31557,"9 imperials later, I'm ready ready for a nap.",4
4247,Freaking out a bit..crossing my fingers that things will work out ok,5
25854,"@ben_mayer I'd like to see a picture of you, Carl and John where everyone can read from your faces you're proud of and you love eachother",5
18927,"Almost made it out of the Apple Store with my MBP, but they didn't have the replacement fan in-stock.",4
2514,now i'm awake i can't get back to sleep,8
9717,@lorib709 sorry you aren't feeling well!,5
26964,@declercq I thought you might like that  Getting ready to see me in a few weeks?,4
37700,@PerezHilton you givein lady ga ga arun for her money in that get up hee hee love it,0
19800,I'm so sorry Drace  this sucks so bad,5
38939,had an awesome time with @spotspot85 and @xerovoltage,11
19612,I want a burrito but I still have 30 more minutes of work,8
39355,"walking the dog on horseforth park, no hangover on a Sunday morning, yay!!",9
15295,Head hurts bad,5
13601,@moonfrye My plans for the weekend include working on a paper and driving my guy 2 the airport. Won't see him for 3 wks.,4
25528,"@marcuspowl Hi! Waking up, and not lazy at all. You would be proud of me, 8 am here!!! Btw, nice colour, not burnt.",1
35103,New day in new home   happy mom day 2 me!,2
39075,@frenchiep :  i know i*m late but i didn't had internet. so happy bithday to you and pierre!,0
9414,Feelin a little blue tonight.. Love might be good,0
32176,"long, fun day  now for some relaxation. some TV with the mom, then sleeeep",3
14410,"Why do i never get to see my paychecks? It's not fair, the second i get them they're gone!",5
24220,"Soon we are going to look at a cabaret, it's going to be fun!",2
7454,ooh my icecream's gone  oh no wait i got another 2 boxes on the freezor! yumm,8
11690,looking forward to seeing the relatives... maybe home from Toronto soon,0
10197,anyone have tickets to the mtv movie awards? some guy scammed me,6
28632,"Perfect day: flute quartets in the morning, web marketing in the afternoon with Barrie, and Star Trek in the evening",1
23981,@youcanknowgod thanks man. I really appreciate the kind words,3
27199,"@alievans719 I have a question for you, Ali.",4
9196,@AnonymousNY My closet situation is close to the same.  Except it's not closet located near NYC.,5
19001,@deegirl825 you're just unhappy to return to occupying the same city as me  I am cry now too.,5
34446,@jovenatheart Great!,0
11365,@iamdiddy @iambodie ....I hugged my hater 2day. Then told her its #nobitchassnessfriday!!! I'm now in trouble for cursing my mgr.,9
35752,Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway,9
37678,@idolart Good morning,4
15405,I want to go home!!,8
31883,It's Midnight - I'm outta here.  HAPPY MOTHER'S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!,0
26903,@shefinds Great job!,2
15841,They wouldn't reverse any of my overdraft fees.,6
33165,@lightgood thank you  You too! I hope this turns out to be a top week for you.,5
23622,"I think Tania is too cute, too nice  I love her! &lt;3",0
4478,@ElizabethN I may be in the US for it in which case I'll attend but if its off my own back I can't afford to go,4
11228,"@courtneyreece I know how you feel. My head is getting stuffier and stuffier, and it is not fun.",5
19503,Ok im good again . Headed home i look like a wet dog,4
20705,woo well done nadine,3
15998,Friday and it's raining,4
1577,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy,6
23212,Save The Readheads!,4
9769,@YasmineGalenorn depressed that both of those are already out but yours isnt. I want your book!!,8
4346,@AsiaRain22 @ the expensive of their workers welfare  other than that they are the shit !,8
16092,My cat is anorexic,5
30526,"@etherjammer  I think it's because I'm always offtopic and sometimes inappropriate (germination and &quot;fruit picking&quot; jokes, etc)",1
23074,"OK. Happy Star Wars Day, everyone. As they say, May the 4th be with you",2
30830,is waking up somewhat. go canucks!,4
8115,out enjoying the weather before i have to go to work.. last shift with @jamieallover,2
17536,Packing...,4
4285,why did last.fm wanted money from me to listen to my radios,9
34695,Okay Im going to bed..Toodles twitts i've had my fun for the day,0
29481,@clickjow depois tu pode ver outras sï¿½ries. te indico two and a half men e the big bang theory. bem diferentes de 90210. comï¿½dias.,4
29478,@insomnia I shall drink lots,4
32982,@jphauk huh what the fuck? Smelly? Noooo. I love alex Vixon,5
2109,Surgery when I wake up,4
20024,I cannot wait to go to FLORIDA!!,1
16938,Oh no she stopped!,5
29042,"Had to change &quot;within 50 miles&quot;, because within 25 miles were effin' BORING.",3
16612,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane",7
18536,I'm miserable with my boredom.,5
8788,family are home doesnt seem like they missed me at all tbh,5
18308,@Lady_Lynn @deanna_raquel ahh man  ok if y'all end up doin sumthin else let me kno so I can meet y'all 2 see wht yal gone do..,6
20786,@trishajmg Congrats,0
14058,I had 2 hoes .. now I have none,8
19619,@kupcakes welcome to my life,4
25739,Back from brunch. Hopefully I lured two more friends here.,4
7318,hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me,5
16382,i need to write really bad. can someone go get my diary from my flat for me,2
23048,Apparently it's #starwarsday,2
14871,@DearFloyd  u don't know harajuku lovers?,4
12793,too many meds. sleeepy sleeepy. I hate being sick,5
9076,"@dan87 where have you been, child? i miss you, we haven't msned in days!",8
21184,@nicsknots It's lying,4
27648,@riandawson will do,4
1540,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left,8
15746,@gorgeousapg hahahaha. Nahh sowwieee.  I had to git a shirt to match dez sneakerz nd idk if they da same color. Aghhh =O lol,6
1416,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the @jonasbrothers live chat i was ccrying i was sad,9
20707,@wahliaodotcom Thanks for that!,4
31386,started a great mother's day season!,2
13124,Rele doesnt want to leave lfpa.,0
35010,"@tommcfly You're welcome!  Actually, the all Swedish fans are trying to get McFly to  us! We are very close now",1
9885,Omg i'm so sad. I jus took in that gossip girl is done,5
3175,Shit... It's 2am and I'm wide awake,5
36913,About to make shit happen  *Pu+ !+ 0n M3*,5
21175,@charmainehan SEND ME THAT PHOTO MAN  ily favourite,5
10083,"having a great time on vacation, sure as heck don't want to go to work on tues.",2
18645,@mpellegrini hurts to be you! Sunshine all weekend and you don't get to play. That's sad.,8
26339,Listening to my favourite song... ALLAH KE BANDE HASDE,5
37638,"@LittlestarRed Good too thanks  So, you had a nice evening with your father? that's cool  Thanks for the link BTW!!",4
2777,missed out on westcott micro apollo too,8
20395,@DJMel oh I don't love it. Just noting that remix kids seem to,9
7067,No more Mtn. Dew in mini-fridge.,9
33743,evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,4
1063,@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis,0
17593,@jarnmang  Hope everything ok! Can burr fix this?,5
28765,@PrinceSammie OMG its working,9
27459,@leinadani haha i just realised it sounded a lot like stellllaaa lol. anyhoo i got ur facebook msg and will start working soon hopefully,11
12930,Time to take a astronomy test!,8
8457,@marianalizbeth yayy!!! Im gonna see you today! I miss you!,0
3847,Ugh RUDE!..,9
22099,new phones just arrived in the office. not much else is gona get done today,2
5676,Dangling belly rings are a bad investment...the cutest ones ALWAYS pop,5
19073,i miss my puppies...,0
26587,@amitcb Chabibi. It's a long running joke. I don't give a flying fuck if anyone follows me at all!,5
35695,@NKOTBSummertime Sweet i'm 5'3 so perfect for me,0
3045,missed the #jonaswebcast,8
28457,Working up to my vacation to Thailand. Getting more excited every day,4
7975,@RobynHumes Can't  Bro on laptop &amp; Salm on comp! Me stuck with Wii :'( xx,6
15434,the sing store won't work.,5
8501,@nick_carter THE LINK DOESNT WORK,4
6818,another song that  makes me cry and cry all day  and night long.,0
29603,@labelladeanna whatsoever do you mean by 'how I get down' lol I'm always sober,11
38338,Happy Mother's Day to all the Mom's,4
9033,This is getting on my nerves. I cant change my pic,6
29732,Watching George Lopez. Went to my school and played some basketball. Today was pretty nice. And HOT!,4
12411,NEW YORK DOLLS TOMORROW NIGHT @ THE DEPOT CANCELLED   REFUNDS AVAILABLE AT POINT OF PURCHASE.,1
34502,@suzyqbee He says he feels mama tucking him in at night  He's lonely but getting by. Tomorrow will be tough!,8
22733,"@bobbyllew If you had owned an *actual* cellphone, that would have been video, and called a &quot;QiK&quot;",4
20175,@jezkemp yay!  excited?,9
33040,Enjoyed Star Trek... More please,1
23335,"@lostgirl66 yeah, it's a bit 80s silly at points but i love it",0
23679,thinking my fridge may be dieing...please not this week...pleeeeeassseee!!!,5
4685,@TheCavalry I'm at work,4
39733,"@AbbeyEmm Haha. If you like him, then you should go",2
8353,@iamdiddy yeah I need a hug...cuz I am sick..,5
12577,@pd1ddee i havent got a call,4
4348,@LifewithMikey82 this is the end of the semester so i am really busy... have got no time for twitting  what a pity cause i love it,0
33105,loving phuket with melai and badette. i'll be coming home soon  imiss everyone,2
25098,Is Bored. Waiting Till 7:06 To Go Out To Tha Bus,8
12661,"@djgraham I think @darkmonkey has found it (http://bit.ly/3pj876 , but I can't play it",5
10468,@bellarina1983 i haven't got a text back!  sod her i looks fabulous!,9
24326,Off to class .... Longggg day,3
23522,"@shakeyz09 so I take it, it wasn't the best weekend?",5
20825,@cece_newnew yea I saw the oil show u put on gotta I likes,0
13391,@RedCrossPDX No blood drives in my area.  I'll keep looking.,9
21355,lees net op Twitter dat het #Happy Star Wars day is... &quot;May the 4th be with you&quot;... Sjeez wat slecht,2
18105,i feel extremely depressed right now.,8
42,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,5
36032,"@bubbalou1969 Morning Lou, I Have some housework to do then im off to Church",5
21039,@tedmurphy Thanks for the follow. I'm loving the energy on your site. The spaz in me can't help but be drawn to you  http://www.ted.me/,0
14476,Waiting,4
6392,@tommcfly I don't know what to write anymore! My mind must be tired. It's past midnight here already. Do a tour in the Philippines?,5
3494,Is feeling like he has a bad flu. Yes. Bad. Flu.,5
27098,Just jailbroke david's iphone in computer programming.,1
425,@joiskol  being in your room makes me sad.,8
34513,totally just got hit on by one of her bar guests! Ha ha...Yay me!,2
2331,@MAGUSWEAVER don't follow me. You will ruin my twitter experience,4
38855,"@LeoWolfe Haha! Night man, and no, but Im sure I'll meet her again in my lifetime, in fact I will...no doubt about it.",2
35983,Just got home. :3 Was pleased with Star Trek.,5
6014,@MGGubler Sounds painful   Sorry you got hurt.. And may I ask how this happen?,5
16096,no new episodes for hitman reborn yet,4
16756,@ColtraneCurtis no way,4
38435,@zuppalizzle you should come over before friday and teach me how,4
